,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Mobserv,22.32808244,22.38550082,21.68053763,19.509,16.99645161,14.55788889,14.2911828,15.24,17.13311111,18.39688172,19.92177778,21.47311828
Montepuez,21.17712176,21.18202701,21.29097385,20.36987179,18.07903226,15.98617284,15.52329893,16.19656452,17.51505952,19.24841743,20.61538034,21.25827458
M da Paraia,22.85825745,22.84279369,22.71879974,22.2496887,20.55787506,18.56008514,17.90359801,18.01393155,18.65172619,20.39405018,21.928,22.89106375
Pemba,23.20403226,22.98158867,22.78640553,21.83107143,20.16140553,18.39702381,17.88675115,18.35184332,19.51941251,21.52313682,22.91595238,23.49892473
Lichinga,16.3,16.3,16.0,14.7,12.5,10.1,9.6,10.6,12.7,14.8,16.1,16.3
Cuamba,20.8,20.5,20.1,18.2,14.9,12.5,12.6,14.3,17.7,20.5,21.6,21.2
Nampula,21.7716129,21.70326765,21.57451613,20.48933333,18.41234705,16.59388889,15.97675195,16.46086021,17.71880952,19.38720801,20.74611111,21.61861328
Quelimane,23.37417563,23.43502633,23.19633641,21.32574713,18.24239631,15.93101863,15.24033794,15.78096774,17.83944444,19.88762366,21.76390805,22.81633692
Tete,23.52880979,23.31286309,23.10580645,21.57688889,18.67967742,16.16225287,15.97430107,17.53817204,20.37411111,22.60351873,23.89977778,23.62669633
Chimoio,19.82473118,19.56894727,18.9368419,16.96202381,14.45017921,12.21366539,11.83747024,12.96630824,15.06555555,16.72894789,18.355723,19.26129032
Beira,23.9890466,23.92325944,23.48985023,21.51641763,18.89521691,16.35633333,15.79766407,16.61101224,18.70955556,20.44783092,22.13544444,23.22247312
Vilankulo,23.66599516,23.25673518,22.59549927,20.11432783,17.36313364,14.75923077,14.36278569,15.70725806,18.49549783,20.43751198,22.32317313,23.31848472
Inhambane,22.71984229,22.65166667,21.96591398,20.16448276,17.88064516,15.829,15.32774194,16.12582437,17.95788889,19.26140156,20.77188889,21.8313405
Panda,21.70974911,21.78100575,21.06856989,19.03011494,16.8682554,14.83261905,14.35034178,14.87463849,16.74034483,17.84251152,19.55824812,20.52487711
Xai-Xai,22.12636263,22.18217258,21.2328341,18.62045977,15.85317019,13.10488095,12.61902113,13.809319,16.31722222,18.05437153,19.75944444,21.19086022
Umbeluzi,21.59833148,21.80588302,20.96782073,18.06286167,14.50569892,10.83066667,10.81979978,12.77870968,15.68988889,17.57967742,19.52678161,20.92823137
Changalane,21.5797491,21.41440476,20.72645161,18.02088889,14.89537634,11.8108046,11.7785317,13.41301075,15.8953254,17.47903226,19.17122222,20.63065233
